int	string	string[]	int	int[]	int[][]	int[][]	int	int	int	int	int	int[][]	int[]	enum.EMechaRepetitionLimitMode	int	enum.ESpawnType	int[][]	int[][]	int	string	int	int	int	bool	int	bool	int	int	bool	int[]	int	bool	int	int	string	bool	string	int	int	int[]	bool	bool	int[][]	int[]	int	int[]	bool	int	int[]	int[]	int	bool	bool	bool	string	int	int	int	bool
406	沙漠3V3-测试白盒2	3v3_test	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	10|16		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
600	测试1V1	LYJ1V1	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	10|16		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
602	战斗区测试	TestYu	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
603	冰原能量	IceField	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,12,13,14,15,16|2,17,18,19,23,26		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
604	破坏测试3V3	Test_3V3	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
706	海岛-测试白盒	Zone3_island	1	1,1	1|2	1|2	1	0	400	1	1	1,2		1	2	1	1,6,7,8,9,10|11,12,13,14,15,161		40	1994/4/12,2022/4/12	3002	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
708	沙漠3V3-测试白盒1	Test3V3	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	10|16		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
709	冰原-测试白盒	IceBorne	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
711	冰原_New-测试白盒	IceBorne_New	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	18|19		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
712	密斯之眼争夺战(旧)	Artkailuo	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001,10002,10003,10004,10005,10007,10009,10012	1	2	1	20,21,23,24,25,26|2,40,41,17,18,19		40	1994/4/12,2022/4/12	1101	1	2	False	-1	False	3	9	True	-126,-301	23	True	3	10001	15分钟	False	“破界者”须从三处EIC设施获取密钥，并将密钥转运至中央矿井。率先完成运输，或在区域关闭时处于领先地位，即可获得中央矿井控制权。	14004	20	10001,10002,10003,10004,10005,10012	False	False	10001|10002|10003|10004|10012|10005,10001	2,5	2	10005	True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
713	破碎性能测试地图	PS_Test	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	2	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
720	3V3虚拟白盒实装地图	Cyber3V3	1	1,2	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
722	30人虚拟对战3V3	GKCS_30er	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
723	30人密斯之眼争夺战	Artkailuo_30er	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15	1	0	0	1	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15		1	2	1	1|2|3|4|17|18|19|20|21|23|24|25|26|40|41		40	1994/4/12,2022/4/12	1101	1	2	True	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
724	虚拟训练混战	TrainingDemo2	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		40	1994/4/12,2022/4/12	1101	2	3	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
725	艾特纳烟谷（2+2）	canyon2	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	10,11,12,13,14,15|16,17,18,19,20,21		40	1994/4/12,2022/4/12	1101	1	6	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
726	战斗演算中枢	GKCS_12er	1	1,1,1,1,1,1,1,1,1,1,1,1	1|2|3|4|5|6|7|8|9|10|11|12	1|2|3|4|5|6|7|8|9|10|11|12	1	0	0	1	1	1,2,3,4,5,6,7,8,9,10,11,12	10001,10002,10003,10004,10005,10007,10009,10012	1	2	1	1|2|3|4|5|6|7|8|9|10|11|12		300	1994/4/12,2022/4/12	1101	0	5	True	100	False	3	9	False		0	True	3	10004	无限	True	多人训练模式。12名“破界者”进入训练，通过模拟对战熟悉不同的机体和它们的武装。	14006	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
727	技能测试关	TrainingSkillDemo	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15	1	0	0	1	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15		1	2	1	1|2|3|4|17|18|19|20|21|23|24|25|26|40|41		40	1994/4/12,2022/4/12	1101	1	2	True	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
728	玛什⻢克	Marshmack	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	1	0	0	1	2	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24		1	2	2	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36	40	1994/4/12,2022/4/12	1101	1	7	False	120	False	3	33	True		0	True	3	10009		False	参战小队进入玛什马克后，会遭遇来自其他队伍的袭击，将其击败即可获得他们收集到的物资。参战者亦可在作战区域内自主搜寻有价值的物资，并最终通过占领发射井将物资带离战场。	14011	1	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	11	1	1	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
801	埃尔文塔试验场	GrandCanyonDemo	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	16,17,18,19,20,21|71,72,73,74,75,76		40	1994/4/12,2022/4/12	1101	1	6	False	-1	False	3	9	True		0	True	3	10002	15分钟	False	“破界者”须尽可能多地击坠武装分子，夺回主控芯片，并将芯片运输至中央发射中台。率先完成回收，或在区域关闭时处于领先地位，即可获得发射中台控制权。	14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
888	萨夫列尼升降城	3V3_City	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	4,6,11|12,13,14		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		5	True	3	10010	6分钟	False	位于西里里王国米尔顿半岛南端的可升降小型掩体城市，灾前掩体城市验证时期的建设方案之一，其目的是实现城市建筑在灾前灾后的快速调整。	14001	0	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	360	90	5	
889	6V6 能量夺取 Energy_stealing6V6	Energy_stealing	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7,12,13,14|8,9,10,15,16,17		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		5	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
902	虚拟对战1V1	XDXtest	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
903	YGM白盒	YGMtest	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
904	YGM白盒2	TajMahalTest	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1111	未来之夺-白盒测试	Push3v3	1	1,1	1|2|3	1|2	1	0	0	1	1	1,2		1	2	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1112	勇夺空投-白盒测试	Push3v3x2	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1113	赏金猎人-白盒测试	3V3Bounty	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1114	勇夺宝箱-白盒测试	3V3OpenBox	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1115	Double未来之夺-白盒测试	DoublePush3v3	1	1,1	1|2|3	1|2	1	0	0	1	1	1,2		1	2	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1116	星屿自律岛	DoublePush6v6	1	1,1	1|2|3	1|2	1	0	0	1	1	1,2		1	2	1	1,2,3,4,5,6|11,12,13,14,15,16		40	1994/4/12,2022/4/12	1101	1	9	False	-1	False	3	9	True	115,-180	20	True	3	10006	12分钟	False	“破界者”须靠近己方C脑运载车，并依次激活三座导轨控制台，获取增速。率先将运载车护送至发射站，或在区域关闭时处于领先地位，即可获得发射站控制权。	14007	30	10001,10002,10003,10004,10009,10012	False	False	10100|10200|10300|10400|10900|11200|10101|10401|11201		0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1117	6V6能源危机-白盒测试	Energy6v6	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	10,11,12,13,14,15|16,17,18,19,20,21		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1118	6V6绿洲破解密钥模式	swamp6v6	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	26,27,28,29,30,31|32,33,34,35,36,37		40	1994/4/12,2022/4/12	1101	1	6	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1119	NPC训练关	TrainingMap_Demo_NPC	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		3	1994/4/12,2022/4/12	1101	0	0	True	0	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1120	充能核心争夺战2	DiePlayMode2	1	1,1	1|2|3	1|2	1	0	0	1	1	1,2		1	2	1	1,2,3,4,5,6|11,12,13,14,15,16		40	1994/4/12,2022/4/12	1101	1	2	False	-1	False	3	9	True		20	True	3	10002	12分钟	False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
1121	据点矿车争夺模式	CarHoldMode	1	1,1	1|2|3	1|2	1	0	0	1	1	1,2		1	2	1	1,2,3,4,5,6|11,12,13,14,15,16		40	1994/4/12,2022/4/12	1101	1	2	False	-1	False	3	9	True		20	True	3	10002	12分钟	False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
